Ticker	P_E	P_Free_Cash_Flow	Dividend_Yield	EPS_growth_this_year	Return_on_Equity	LT_Debt_Equity
FE	70.29	NA	4.02	-42.7	2.4	1.54
FFIV	26.94	15.73	NA	16.9	24	0
FIS	28.62	37.58	1.51	43.1	10.4	0.77
FISV	26.44	19.02	NA	22.1	22.1	1.13
FITB	11.47	NA	2.68	-16.8	12.2	1.05
FLIR	22.94	41.75	1.37	13	12.3	0.22
FLR	14.47	197.04	1.42	49.8	12.6	0.14
FLS	16.59	23.85	1.02	10.3	32.8	0.57
FMC	21.7	69.35	0.94	-10.8	22.5	0.74
FOSL	11.71	NA	NA	8.1	50	0.62
FOXA	8.27	39.59	0.85	-42.6	52.4	0.95
FSLR	18.43	NA	NA	433.3	5.8	0.03
FTI	13.89	19.63	NA	40.5	27.5	0.53
FTR	63.85	45.9	4.82	-15.4	3.3	2.36
GAS	10.63	NA	4.07	92.2	20.2	0.95
GCI	7.55	NA	2.31	175.9	37.9	1.4
GD	18.1	19.49	1.74	11.4	19.3	0.29
GE	16.7	NA	3.65	3.4	13.8	2.85
GGP	75.74	NA	2.3	21.9	14.6	2.17
GILD	13.7	NA	NA	306.1	122.2	0
GIS	22.37	47.04	3.07	1.4	24.4	1.36
GLW	14.77	10.43	1.92	29.1	13.7	0.17
GM	22.54	NA	3.19	-30.3	7.3	0.9
GMCR	33.66	376.93	0.94	18.4	17.4	0.07
GME	11.75	514.94	3.52	240.4	17	0.17
GOOG	25.68	NA	NA	NA	NA	NA
GOOGL	26.73	32.21	NA	2.9	14.8	0.03
GPC	21.4	41.76	2.39	6.3	20.2	0.14
GPS	14.64	21.82	2.15	17.6	42	0.48
GRMN	26.43	111.71	3.89	-39.7	10.5	0
GS	11.21	NA	1.25	10.4	11.2	2.87
GT	3.13	NA	0.87	287.2	116.6	1.72
GWW	20.78	57.15	1.81	2.9	30.3	0.12
HAL	10.76	149.76	1.66	73	23.3	0.48
HAR	30.46	28.05	0.96	64.7	17.2	0.19
HAS	19.08	62.57	2.98	47.5	27.7	1.06
HBAN	14.89	13.1	2.24	0	10.2	0.73
HCA	16.74	12.96	NA	23.4	-24.1	NA
HCBK	30.22	NA	1.65	-13.5	3.3	0
HCN	102.7	8.62	4.23	-79.2	2.9	0.84
HCP	22.4	NA	5.2	-1	10.9	0.83
HD	25.51	36.85	1.67	25.3	51.7	1.65
HES	13.92	43.7	1.31	-53.2	15.3	0.27
HIG	13.82	NA	1.74	15.8	4.4	0.31
HOG	16.45	19.86	1.95	18.3	26.6	1.29
HON	19.77	34.07	1.96	8.3	23.2	0.34
HOT	23	NA	1.87	18.1	25	1.69
HP	10.38	NA	3.94	-3	18.8	0.01
HPQ	14.65	9.62	1.67	0	18	0.6
HRB	19.63	29.51	2.3	7.1	38.2	0.41
HRL	25.18	46.55	1.73	14.4	17.6	0.07
HRS	15.51	20.61	2.4	20.2	29.6	0.87
HSP	44.89	64.01	NA	-4.6	10.2	0.52
HST	22.92	NA	3.67	244.4	10	0.55
HSY	28.52	NA	2	4.4	54.5	1.02
